SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
284,77,47,"engine oil",NULL,NULL,NULL
285,138,47,"HAICE 1",NULL,NULL,NULL
286,138,47,"HAICE 2",NULL,NULL,NULL
287,138,47,"HYUNDAI 291AA",NULL,NULL,NULL
288,135,47,WATER,NULL,NULL,NULL
294,142,47,"Phone Repairs",NULL,NULL,NULL
295,61,47,"Morning Fresh",NULL,NULL,NULL
296,82,47,"cooking gas",NULL,NULL,NULL
297,95,47,"Internet Services ",NULL,NULL,NULL
298,70,47,"Mr. . Abraham",NULL,NULL,NULL
299,73,47,gift,NULL,NULL,NULL
300,72,47,"Extension Box",NULL,NULL,NULL
301,102,47,"PAYE January",NULL,NULL,NULL
302,102,47,"PEYE February",NULL,NULL,NULL
303,104,47,"photocopier repairs ",NULL,NULL,NULL
304,143,47,"Repairs and maintenance",NULL,NULL,NULL
305,143,47,"painting of vehicle",NULL,NULL,NULL
306,143,47,services,NULL,NULL,NULL
307,88,47,Questions,NULL,NULL,NULL
308,131,47,drinks,NULL,NULL,NULL
309,131,47,Rentals,NULL,NULL,NULL
310,131,47,"whistle and balls",NULL,NULL,NULL
311,131,47,Marking,NULL,NULL,NULL
312,131,47,"Sacks ",NULL,NULL,NULL
313,131,47,"police agencies",NULL,NULL,NULL
314,131,47,Band,NULL,NULL,NULL
315,131,47,"panel of judges",NULL,NULL,NULL
316,131,47,"Packs ",NULL,NULL,NULL
317,131,47,"Ballet Outfits",NULL,NULL,NULL
318,87,47,"T- SHIRTS",NULL,NULL,NULL
319,75,47,"All clubs",NULL,NULL,NULL
320,76,47,"Lesson fee",NULL,NULL,NULL
321,90,47,"March Salary",NULL,NULL,NULL
322,90,47,"February Salary ",NULL,NULL,NULL
323,90,47,"April Salary",NULL,NULL,NULL
324,90,47,"January Salary",NULL,NULL,NULL
2637,117,47,"Condolence visit",NULL,NULL,NULL
2638,160,47,"French teacher",NULL,NULL,NULL
2639,160,47,"French institute",NULL,NULL,NULL
2640,161,47,"HYUNDAI 219AA",NULL,NULL,NULL
2643,161,47,"HAICE  ABJ 216XK",NULL,NULL,NULL
2644,161,47,"HAICE 2 ABC-526ZY",NULL,NULL,NULL
2645,137,47,"Mechanical Works",NULL,NULL,NULL
2646,137,47,"Set of Plugs",NULL,NULL,NULL
2647,137,47,"Servicing of nuzzle",NULL,NULL,NULL
2648,143,47,"Break light bulb repairs",NULL,NULL,NULL
2649,143,47,"2 head light bulbs",NULL,NULL,NULL
2650,143,47,"Replacement of shocks",NULL,NULL,NULL
2651,143,47,"Replacement of stabilizer lickage",NULL,NULL,NULL
2652,162,47,"labour ",NULL,NULL,NULL
2653,70,47,"Mrs Alfred Gadzama",NULL,NULL,NULL
2654,61,47,"Cleaning Agent",NULL,NULL,NULL
2666,102,47,"PEYE MARCH",NULL,NULL,NULL
2667,102,47,"PAYE APRIL",NULL,NULL,NULL
2754,137,47,"panel beater",NULL,NULL,NULL
2753,143,47,Alignment,NULL,NULL,NULL
2755,144,47,"Repairs of chairs",NULL,NULL,NULL
2756,144,47,"Tyres Repairs",NULL,NULL,NULL
2761,63,47,"A.Y.M SHAFA",NULL,NULL,NULL
2762,63,47,"Fuel Deposit",NULL,NULL,NULL
2763,94,47,chemicals,NULL,NULL,NULL
2764,103,47,"fumigation first Term ",NULL,NULL,NULL
2765,103,47,"fumigation second Term",NULL,NULL,NULL
2766,103,47,"fumigation third Term",NULL,NULL,NULL
2767,178,47,"School stamp",NULL,NULL,NULL
2768,179,47,"developmental fee",NULL,NULL,NULL
2769,180,47,"premises levy ( FIRS)",NULL,NULL,NULL
2770,181,47,"Transportation FIRS",NULL,NULL,NULL
2771,182,47,"Battery terminal",NULL,NULL,NULL
2776,101,47,"drinks and water for teachers",NULL,NULL,NULL
2777,70,47,"Mum Amina",NULL,NULL,NULL
2779,81,47,"Taekwando outfits",NULL,NULL,NULL
2780,143,47,"Brake pad replacement",NULL,NULL,NULL
2781,185,47,"Estate management",NULL,NULL,NULL
2782,81,47,cardigan,NULL,NULL,NULL
2783,70,47,"Mum AL Qassim",NULL,NULL,NULL
2791,92,47,GIFT,NULL,NULL,NULL
2792,194,47,"Staff Training",NULL,NULL,NULL
2793,137,47,Alignment,NULL,NULL,NULL
2794,143,47,"AC repairs",NULL,NULL,NULL
2795,143,47,labour,NULL,NULL,NULL
2796,78,47,"painting brush",NULL,NULL,NULL
2797,195,47,"photo shoots",NULL,NULL,NULL
