SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3455,267,79,"SCHOOL  BUS",NULL,NULL,NULL
3456,260,79,"SCHOOL  BUS",NULL,NULL,NULL
3457,258,79,"SCHOOL  BUS",NULL,NULL,NULL
3458,259,79,"SCHOOL  BUS",NULL,NULL,NULL
3459,246,79,"SCHOOL  BUS",NULL,NULL,NULL
3460,247,79,"SCHOOL  BUS",NULL,NULL,NULL
3461,248,79,"SCHOOL  BUS",NULL,NULL,NULL
3462,249,79,"SCHOOL  BUS",NULL,NULL,NULL
3463,250,79,"SCHOOL  BUS",NULL,NULL,NULL
3464,296,79,"SCHOOL  BUS",NULL,NULL,NULL
3465,252,79,"SCHOOL  BUS",NULL,NULL,NULL
3466,253,79,"SCHOOL  BUS",NULL,NULL,NULL
3467,257,79,"SCHOOL  BUS",NULL,NULL,NULL
3498,419,79,"TERMLY HOSTEL",NULL,NULL,NULL
3497,419,79,TUITION,2,13,"TUITION FEE"
3496,419,79,REGISTRATION,1,13,"REGISTRATION FEE"
3499,419,79,"SCH BUS",NULL,NULL,NULL
3500,419,79,"REG HOSTEL",NULL,NULL,NULL
3692,475,79,TUITION,2,13,"TUITION FEE"
3693,475,79,"BOARDING FEE",NULL,NULL,NULL
3694,475,79,REGISTRATION,1,13,"REGISTRATION FEE"
3695,475,79,"SCHOOL BUS",NULL,NULL,NULL
3765,502,79,TUITION,2,13,"TUITION FEE"
3766,502,79,"REG HOSTEL",NULL,NULL,NULL
3767,502,79," TERMLY HOSTEL",NULL,NULL,NULL
3768,502,79,REGISTRATION,1,13,"REGISTRATION FEE"
3769,502,79,"SCH BUS",NULL,NULL,NULL
3795,279,79,"SCH BUS 1",NULL,NULL,NULL
3784,504,79,TUITION,2,13,"TUITION FEE"
3785,504,79," REGISTRATION",NULL,NULL,NULL
3786,504,79," SCH BUS",NULL,NULL,NULL
3787,504,79," REG HOSTEL",NULL,NULL,NULL
3788,504,79," TERMLY HOSTEL",NULL,NULL,NULL
3796,279,79,"SCH BUS 2",NULL,NULL,NULL
3797,280,79,"SCH BUS 1",NULL,NULL,NULL
3798,280,79," SCH BUS 2",NULL,NULL,NULL
3799,269,79,"SCH BUS 1",NULL,NULL,NULL
3800,269,79," SCH BUS 2",NULL,NULL,NULL
3801,270,79,"SCH BUS 1",NULL,NULL,NULL
3802,270,79," SCH BUS 2",NULL,NULL,NULL
3803,272,79,"SCH BUS 1",NULL,NULL,NULL
3804,272,79," SCH BUS 2",NULL,NULL,NULL
3805,273,79,"SCH BUS 1",NULL,NULL,NULL
3806,273,79," SCH BUS 2",NULL,NULL,NULL
3807,271,79,"SCH BUS 1",NULL,NULL,NULL
3808,271,79," SCH BUS 2",NULL,NULL,NULL
3809,275,79,"SCH BUS 1",NULL,NULL,NULL
3810,275,79," SCH BUS 2",NULL,NULL,NULL
3811,274,79,"SCH BUS 1",NULL,NULL,NULL
3812,274,79," SCH BUS 2",NULL,NULL,NULL
3813,262,79,"SCH BUS 1",NULL,NULL,NULL
3814,262,79," SCH BUS 2",NULL,NULL,NULL
3815,261,79,"SCH BUS 1",NULL,NULL,NULL
3816,261,79," SCH BUS 2",NULL,NULL,NULL
3817,264,79,"SCH BUS 1",NULL,NULL,NULL
